name,sku,status,quantity,my_price_cad,official_price_usd,official_url,image_url,source_column_1,source_column_12,source_column_2,source_title,source_price,source_plus_gst,source_sell_price,source_35_percent,source_profit,source_profit_percent,source_status,source_type,source_summary_status,source_summary_value,source_summary_count,source_summary_total,source_extra
Albee Bee,,Sold,0,65.00,30.00,https://us.jellycat.com/albee-bee/,https://tse2.mm.bing.net/th?q=Jellycat+Albee+Bee&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Albee Bee,Jellycat Albee Bee,42.95,45.10,65.00,60.00,19.90,44.13%,1-Sold,,,,,,
Amuseables Acered Maple Syrup,,Not in stock,0,85.00,,https://us.jellycat.com/search.php?search_query=Amuseables+Acered+Maple+Syrup,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Acered+Maple+Syrup&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Acered Maple Syrup,Jellycat Amuseables Acered Maple Syrup,62.00,65.10,85.00,90.00,19.90,30.57%,,,,,,,
Amuseables Arlette Heart Macaron (Red),,Not in stock,0,65.00,33.00,https://us.jellycat.com/amuseables-arlette-heart-macaron/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Arlette+Heart+Macaron+%28Red%29&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Arlette Heart Macaron (Red),Jellycat Amuseables Arlette Heart Macaron (Red),45.00,47.25,65.00,65.00,17.75,37.57%,,,,,,,
Amuseables Asparagus,,Not in stock,0,100.00,55.00,https://us.jellycat.com/amuseables-asparagus/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Asparagus&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Asparagus,Jellycat Amuseables Asparagus,75.00,78.75,100.00,105.00,21.25,26.98%,,,,,,,
Amuseables Baguette Bag,,Not in stock,0,60.00,,https://us.jellycat.com/search.php?search_query=Amuseables+Baguette+Bag,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Baguette+Bag&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Baguette Bag,Jellycat Amuseables Baguette Bag,39.00,40.95,60.00,50.00,19.05,46.52%,0-Karen,Karen-3,,,,,
Amuseables Birthday Cake,,Not in stock,0,75.00,38.00,https://us.jellycat.com/amuseables-birthday-cake/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Birthday+Cake&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Birthday Cake,Jellycat Amuseables Birthday Cake,52.00,54.60,75.00,75.00,20.40,37.36%,,,,,,,
Amuseables Black Hole Bag Charm,,Not in stock,0,65.00,30.00,https://us.jellycat.com/amuseables-black-hole-bag-charm/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Black+Hole+Bag+Charm&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Black Hole Bag Charm,Jellycat Amuseables Black Hole Bag Charm,42.00,44.10,65.00,60.00,20.90,47.39%,,,,,,,
Amuseables Boiled Egg Scientist Outfit,,Not in stock,0,65.00,33.00,https://us.jellycat.com/amuseables-boiled-egg-scientist-outfit/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Boiled+Egg+Scientist+Outfit&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Boiled Egg Scientist Outfit,Jellycat Amuseables Boiled Egg Scientist Outfit,45.00,47.25,65.00,65.00,17.75,37.57%,,,,,,,
Amuseables Bouquet of Flowers,,Not in stock,0,100.00,55.00,https://us.jellycat.com/amuseables-bouquet-of-flowers/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Bouquet+of+Flowers&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Bouquet of Flowers,Jellycat Amuseables Bouquet of Flowers,75.00,78.75,100.00,105.00,21.25,26.98%,,,,,,,
Amuseables Broccoli,,Not in stock,0,110.00,60.00,https://us.jellycat.com/amuseables-broccoli/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Broccoli&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Broccoli,Jellycat Amuseables Broccoli,85.00,89.25,110.00,120.00,20.75,23.25%,,,,,,,
Amuseables Caprese Baguette,,Not in stock,0,75.00,,https://us.jellycat.com/search.php?search_query=Amuseables+Caprese+Baguette,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Caprese+Baguette&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Caprese Baguette,Jellycat Amuseables Caprese Baguette,52.00,54.60,75.00,75.00,20.40,37.36%,,,,,,,
Amuseables Carole Canelé,A6CNE,Not in stock,0,55.00,25.00,https://us.jellycat.com/amuseables-carole-canele/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Carole+Canel%C3%A9&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Carole Canelé,Jellycat Amuseables Carole Canelé,35.00,36.75,55.00,50.00,18.25,49.66%,,,,,,,
Amuseables Carrot,,Not in stock,0,85.00,45.00,https://us.jellycat.com/amuseables-carrot/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Carrot&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Carrot,Jellycat Amuseables Carrot,62.00,65.10,85.00,90.00,19.90,30.57%,,,,,,,
Amuseables Carrot Cake,,Not in stock,0,85.00,45.00,https://us.jellycat.com/amuseables-carrot-cake/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Carrot+Cake&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Carrot Cake,Jellycat Amuseables Carrot Cake,62.00,65.10,85.00,90.00,19.90,30.57%,,,,,,,
Amuseables Cauliflower,,Not in stock,0,60.00,,https://us.jellycat.com/search.php?search_query=Amuseables+Cauliflower,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Cauliflower&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Cauliflower,Jellycat Amuseables Cauliflower,32.00,33.60,60.00,45.00,26.40,78.57%,,,,,,,
